city,bikes,stations,source
Augsburg,300,30,"https://www.b4bschwaben.de/b4b-nachrichten/augsburg_artikel,-stadtwerke-sorgen-mit-150-neuen-fahrraedern-fuer-mehr-mobilitaet-in-augsburg-_arid,156345.html"
Bensheim,0,0,
Berlin,5000,1,https://www.tagesspiegel.de/berlin/leihraeder-in-berlin-gutes-rad-ist-teuer/20602486.html
Bochum,0,0,
Bonn,900,100,http://www.general-anzeiger-bonn.de/bonn/stadt-bonn/So-funktioniert-das-Fahrradverleih-System-in-Bonn-article3952791.html
Bottrop,0,0,
Bremen,0,0,
Bürstadt,0,0,
Dortmund,0,0,
Dossenheim,0,0,
Dresden,0,0,
Duisburg,0,0,
Düsseldorf,0,0,
Eppelheim,0,0,
Erfurt,100,10,https://www.fh-erfurt.de/fhe/fachhochschule/aktuelles/meldungen/2620-studierendenrat-und-nextbike-nehmen-fahrradvermietsystem-in-betrieb/
Essen,0,0,
Flensburg,0,0,
Gelsenkirchen,0,0,
Gießen,360,1,https://www.uni-giessen.de/ueber-uns/campus-der-zukunft/aktuelles/pm37-18
Gütersloh,0,0,
Hamburg,0,0,
Hamm,40,7,https://www.hshl.de/hochschule-hamm-lippstadt/news-presse-blog/presse/hshl-und-nextbike-bauen-oeffentliches-fahrradmietsystem-in-hamm-aus/
Heddesheim,0,0,
Heidelberg,0,0,
Heppenheim,0,0,
Herne,0,0,
Hockenheim,0,0,
Kaiserslautern,0,0,
Karlsruhe,0,0,
Kassel,400,56,https://www.hna.de/kassel/mitte-kassel-ort248256/nextbike-im-test-vor-und-nachteile-neuen-fahrradverleihsystems-in-kassel-9511081.html
Köln,1400,1,http://www.general-anzeiger-bonn.de/bonn/stadt-bonn/So-funktioniert-das-Fahrradverleih-System-in-Bonn-article3952791.html
Ladenburg,0,0,
Lahr,0,0,
Lampertheim,0,0,
Leipzig,1000,1,"https://www.l.de/verkehrsbetriebe/kundenservice/services/nachrichten/detailansicht/9,1,YToxOntzOjY6ImVudGl0eSI7czo0OiIxMzAyIjt9"
Leverkusen,300,40,https://www.leverkusen.com/presse/db/presse.php?view=00041468
Lippstadt,0,0,
Ludwigshafen,40,0,https://www.ludwigshafen.de/nachhaltig/verkehr/vrnnextbike/
Mannheim,0,0,
Marburg,0,0,
Mönchengladbach,0,0,
München,3200,1,https://www.abendzeitung-muenchen.de/inhalt.reichweite-wird-erhoeht-2000-neue-bikes-mvg-schickt-mehr-fahrraeder-los.5d247693-9d48-4862-9df3-69ce8b105820.html
Norderstedt,0,0,
Nürnberg,500,1,https://www.br.de/nachricht/mittelfranken/inhalt/mit-bus-bahn-und-rad-vag-bietet-kuenftig-leihraeder-in-nuernberg-an-100.html
Oberhausen,0,0,
Offenburg,0,0,
Potsdam,286,44,Präsentation
Quickborn,0,0,
Rüsselsheim,0,0,
Schwetzingen,0,0,
Speyer,0,0,
Tübingen,50,0,https://tuebingen-info.de/orientieren/fahrradverleih.html
Weinheim,0,0,
Wiesbaden,0,0,
Worms,0,0,
Würzburg,70,0,https://www.focus.de/regional/wuerzburg/wuerzburg-drei-jahre-nextbike-in-wuerzburg_id_9395587.html
